korean_name,coin_symbol
비트코인,BTC
이더리움,ETH
리플,XRP
도지코인,DOGE
앱토스,APT
솔라나,SOL
파일코인,FIL
이더리움클래식,ETC
비트코인캐시,BCH
샌드박스,SAND
미나,MINA
트론,TRX
디센트럴랜드,MANA
카르다노,ADA
옵티미즘,OP
시바이누,SHIB
갈라,GALA
송버드,SGB
이캐시,XEC
퀀텀,QTUM
이오스,EOS
엑시인피니티,AXS
폴리곤,MATIC
칠리즈,CHZ
클레이튼,KLAY
유에스디코인,USDC
질리카,ZIL
플로우,FLOW
스텔라루멘,XLM
이뮤터블엑스,IMX
디와이디엑스,DYDX
메디블록,MED
인젝티브,INJ
엑스플라,XPLA
아발란체,AVAX
인터넷컴퓨터,ICP
폴카닷,DOT
스테픈,GMT
바이낸스코인,BNB
하모니,ONE
오디우스,AUDIO
엔진코인,ENJ
밴드프로토콜,BAND
코스모스,ATOM
체인링크,LINK
에이브,AAVE
알고랜드,ALGO
니어프로토콜,NEAR
루프링,LRC
팬텀,FTM
엑셀라,WAXL
포켓네트워크,POKT
유니스왑,UNI
오미세고,OMG
퍼페튜얼프로토콜,PERP
티드랍,TDROP
왁스,WAXP
이더리움네임서비스,ENS
보라,BORA
오션프로토콜,OCEAN
헬륨,HNT
룩스레어,LOOKS
비트토렌트,BTT
비트다오,BIT
에이프코인,APE
쎄타토큰,THETA
세럼,SRM
비트코인SV,BSV
다이,DAI
비체인,VET
메이커,MKR
로닌,RON
헤데라,HBAR
시냅스,SYN
일드길드게임즈,YGG
테조스,XTZ
더그래프,GRT
오아시스네트워크,ROSE
토르체인,RUNE
알파파이낸스랩,ALPHA
스시스왑,SUSHI
로켓풀,RPL
라이브피어,LPT
우마,UMA
누사이퍼,NU
발란서,BAL
인덱스코퍼레티브,INDEX
랠리,RLY
지엠엑스,GMX
커브,CRV
연파이낸스,YFI
아르고,AERGO
신세틱스,SNX
알위브,AR
리도다오,LDO
올림푸스다오V2,OHM
1인치,1INCH
카데나,KDA
스토리지,STORJ
페치,FET
클레이스왑프로토콜,KSP
베이직어텐션토큰,BAT
스택스,STX
컨벡스파이낸스,CVX
일루비움,ILV
앰프,AMP
깃코인,GTC
수퍼레어,RARE
오스모시스,OSMO
렌,REN
컴파운드,COMP
엘론드,EGLD
셀로,CELO
라리블,RARI
쿠사마,KSM
노시스,GNO
네오핀,NPT
랩트비트코인,WBTC
