korean_name,coin_symbol
비트코인,BTC
마인즈오브달라니아,DAR
리플,XRP
레이블,LBL
이더리움,ETH
도지코인,DOGE
알케미페이,ACH
갤럭시아,GXA
솔라나,SOL
샌드박스,SAND
제노토큰,XNO
에이피엠코인,APM
크레딧코인,CTC
이더리움클래식,ETC
다오메이커,DAO
아모코인,AMO
엑시인피니티,AXS
디센트럴랜드,MANA
갈라,GALA
클레이튼,KLAY
쓰레스홀드,T
에이다,ADA
엘리시아,EL
트론,TRX
이오스,EOS
알타바,TAVA
라이즌,ATOLO
퀀텀,QTUM
아로와나토큰,ARW
아치루트,ALT
폴리곤,MATIC
아르고,AERGO
코인98,C98
웨이브,WAVES
스테픈,GMT
비트코인캐시,BCH
바이프로스트,BFC
페이코인,PCI
스포티움,SPRT
체인링크,LINK
이캐시,XEC
애니버스,ANV
마일벌스,MVC
플레어,FLR
칠리즈,CHZ
어셈블프로토콜,ASM
에이아이워크,AWO
캐스퍼,CSPR
연파이낸스,YFI
벨로프로토콜,VELO
폴카닷,DOT
코르텍스,CTXC
세럼,SRM
랠리,RLY
디파인,DFA
루프링,LRC
비트코인에스브이,BSV
아발란체,AVAX
질리카,ZIL
다이,DAI
쎄타퓨엘,TFUEL
알고랜드,ALGO
맵프로토콜,MAP
코스모스,ATOM
보라,BORA
스텔라루멘,XLM
디비전,DVI
하이브,HIVE
이브이지,EVZ
아지트,AZIT
바이낸스코인,BNB
네오핀,NPT
코넌,CON
스탯,STAT
스트라티스,STRAX
왁스,WAXP
왐토큰,WOM
타이탄스왑,TITAN
온톨로지가스,ONG
비트코인골드,BTG
마브렉스,MBX
리저브라이트,RSR
바이오패스포트,BIOT
카이버네트워크,KNC
엔진코인,ENJ
이포스,WOZX
펑션엑스,FX
스텝앱,FITFI
빅스코,VIX
마이네이버앨리스,ALICE
펀디엑스,PUNDIX
네스트리,EGG
라이파이낸스,SOFI
미버스,MEV
보아,BOA
룸네트워크,LOOM
오키드,OXT
테조스,XTZ
밀크,MLK
게이머코인,GHX
메탈,MTL
머신익스체인지코인,MXC
위드,WIKEN
울트라,UOS
렌,REN
믹스마블,MIX
어댑터토큰,ADP
비체인,VET
너보스,CKB
체인,XCN
비트토렌트,BTT
메타디움,META
어거,REP
소다코인,SOC
베라시티,VRA
아이콘,ICX
오션프로토콜,OCEAN
콜라토큰,COLA
코티,COTI
솔라,SXP
에이브,AAVE
오르빗체인,ORC
스시스왑,SUSHI
우네트워크,WOO
파워렛저,POWR
퀴즈톡,QTCON
이피니티토큰,EFI
온톨로지,ONT
스팀,STEEM
식스,SIX
메이커,MKR
우마,UMA
셀러네트워크,CELR
저스트,JST
뉴메레르,NMR
카르테시,CTSI
티드랍,TDROP
밸러토큰,VALOR
골렘,GLM
아이젝,RLC
컴파운드,COMP
베이직,BASIC
유니스왑,UNI
스테이터스네트워크토큰,SNT
웨이키체인,WICC
앵커,ANKR
쿼크체인,QKC
무비블록,MBL
엘론드,EGLD
크로노스,CRO
엘프,ELF
신세틱스,SNX
밸런서,BAL
더그래프,GRT
트러스트스왑,SWAP
벨라프로토콜,BEL
라이브피어,LPT
플레이댑,PLA
고머니2,GOM2
썬,SUN
300피트네트워크,FIT
템코,TEMCO
피르마체인,FCT2
블로서리,BLY
베이직어텐션토큰,BAT
오미세고,OMG
힙스,HIBS
보바토큰,BOBA
재스미코인,JASMY
리퀘스트,REQ
레이,REI
프로톤,XPR
센트럴리티,CENNZ
알파,ARPA
제로엑스,ZRX
썸씽,SSX
알파쿼크,AQT
콘텐토스,COS
쎄타토큰,THETA
비너스,XVS
오브스,ORBS
폴라리스쉐어,POLA
트러스트버스,TRV
1인치,1INCH
오리진프로토콜,OGN
뱅코르,BNT
메디블록,MED
리니어파이낸스,LINA
크로미아,CHR
심볼,XYM
이오스트,IOST
쿠사마,KSM
팬케이크스왑,CAKE
옵저버,OBSR
셴투,CTK
프론티어,FRONT
에이피이앤에프티,NFT
고체인,GO
